id;rue;code_postal;ville;pays
1;synthesize invoice Jewelery;23119;discrete Bermudian Dollar (customarily known as Bermuda Dollar) Awesome;Strategist index bus
2;Credit Card Account;99197;transform;throughput redundant Awesome Metal Chips
3;Senior holistic;98035;Russian Federation recontextualize optical;indigo 1080p auxiliary
4;Lights Rubber evolve;39516;Clothing bypass;hierarchy
5;protocol bandwidth;96066;Borders;Borders
6;Unbranded Metal Pizza;44044;TCP;Quality
7;Soft payment;75002;application;Rhode Island indexing
8;Practical Steel Tuna Cambridgeshire;91773;generate;Executive Adaptive Fundamental
9;auxiliary;44935;Roads solid state;invoice
10;sensor Expanded;52227;Beauty action-items;Savings Account Soft
