id;jhi_type;num;delivery_date;experation_date;illimited_experation_date;path
1;Pound Sterling Reduced Investor;SSL Global Valley;2020-12-29;2020-12-28;true;multi-byte Handcrafted Manor
2;Product synergistic AGP;plum;2020-12-29;2020-12-28;true;panel Texas AI
3;GB firewall;Group payment;2020-12-28;2020-12-29;false;deposit Ridges invoice
4;wireless Licensed;Handmade Sausages;2020-12-28;2020-12-28;true;Ohio open architecture Indiana
5;Fresh;synthesize Books;2020-12-28;2020-12-28;true;brand explicit
6;Rustic Rubber Ball payment;Corporate Junction Outdoors;2020-12-29;2020-12-28;false;Berkshire
7;JBOD lavender attitude-oriented;plum;2020-12-29;2020-12-28;false;task-force
8;Directives solid state;Fresh Movies Operations;2020-12-29;2020-12-28;true;EXE channels
9;holistic reciprocal Communications;Cheese Branding Configurable;2020-12-29;2020-12-29;false;1080p Handmade Hat
10;leverage;Borders payment;2020-12-28;2020-12-28;true;flexibility Dynamic deposit
