id;ref_demande;cli_delta;signature;compte
1;collaborative contingency;Intelligent Wooden Bacon Shoes relationships;users USB redundant;neural-net Grocery mobile
2;Sleek Soft Tuna;encompassing Senior;port;Movies
3;USB;Borders;Senior;productize Generic copying
4;Tunnel;violet Isle backing up;parsing Valley;Buckinghamshire Checking Account
5;quantifying AGP;engineer Garden;firewall input;primary
6;Avon;firewall Maine copy;Cameroon Face to face;web services compelling Grocery
7;backing up Branch;Spur;azure Metal Gorgeous Plastic Bike;responsive tangible
8;calculate Delaware;compressing Lithuania;Fantastic yellow;Savings Account parse
9;District;Grocery overriding;Cape Verde Escudo Steel;Chair
10;Bahamas deploy Car;Money Market Account Cheese;alarm Steel;Sleek Fresh Sausages
