id;category_id;income_type_code;income_type;monthly_income_id;market_code;market;segment_code;jhi_segment;activity_id;profession_code;profession
1;99204;Computers;turn-key Lari Seychelles Rupee;11020;25191;client-server;Borders Accountability Salad;revolutionary incubate;14124;back up;Global Security
2;10398;clicks-and-mortar;Nakfa;20479;45185;Intelligent;Awesome Granite Gloves;Berkshire Pa'anga;80170;Intelligent invoice;knowledge base Barbados Dollar
3;645;National Dynamic Shoes;Multi-lateral Facilitator;60448;23335;asynchronous;Plastic solution-oriented;Pula Pennsylvania Home;3299;Identity zero tolerance;Paradigm
4;14321;Ford;Clothing;75349;61721;Swiss Franc;Rustic intangible Handcrafted Steel Ball;strategic Refined Maine;7769;Planner Oregon;neural Infrastructure Technician
5;84923;Home Loan Account Designer;Sleek Concrete Soap;12703;6066;Manors Forks portal;Facilitator;array Ergonomic;71856;Berkshire Small Ireland;monitor bandwidth
6;43139;Alabama disintermediate;Borders Incredible time-frame;32215;50833;Checking Account Liaison;Aruba Passage;Bedfordshire 1080p cross-platform;47087;Architect Grocery;Investment Account proactive
7;62292;24/7;calculating;76891;8357;content;Checking Account circuit Assimilated;Boliviano Mvdol eyeballs;37596;Grocery Faroe Islands;Ergonomic Frozen Salad Managed
8;85680;Auto Loan Account Brazil Small Steel Ball;wireless;15085;48469;Configuration;deliverables scalable;Operations;47492;synthesize Personal Loan Account Associate;Metal payment synthesizing
9;42586;Isle of Man wireless fuchsia;invoice Egypt e-services;79690;83258;override Internal;yellow payment;Platinum bluetooth;94152;deposit Falls;Libyan Dinar Practical Wooden Shirt
10;35379;Supervisor Isle of Man Ball;challenge;11848;74163;programming Liaison;Concrete overriding;grow Enhanced Table;96680;Malagasy Ariary PCI;Moldovan Leu auxiliary
