id;name;path;attachment_type;file_name;status
1;Savings Account;Towels indexing;RESIDENCY_VERSO;European Unit of Account 17(E.U.A.-17);INVALID
2;input Generic Metal Shirt Personal Loan Account;Tasty Concrete Soap implement reinvent;FATCA;Usability Serbian Dinar;VALID
3;back-end withdrawal;withdrawal Loaf;CIN_VERSO;tertiary Prairie even-keeled;VALID
4;Cheese Cotton payment;Concrete;SECOND_NATIONALITY;Granite Plastic Mississippi;TO_COMPLETE
5;methodology Orchard Borders;parse Reduced;INCOME;Internal;VALID
6;Wells Investor cross-media;array Mali Vision-oriented;INCOME;compress;VALID
7;Corporate;connect Jewelery Island;INCOME;Bedfordshire Investment Account Concrete;COMPLETED
8;haptic Rustic Steel Table;Direct Montana Cambridgeshire;RESIDENCY_VERSO;Health Networked Clothing;TO_COMPLETE
9;Table;USB;RESIDENCY_RECTO;wireless;TO_COMPLETE
10;Small Rubber Shirt Florida Organized;Pataca;INCOME;program connect;TO_COMPLETE
